entity,type
84d9d0524e14d9ab5f88bbce6d2d2582,S-FILE
139.190.6.180,S-IP
39.40.141.25,S-IP
175.110.165.110,S-IP
39.40.44.245,S-IP
39.40.67.219,S-IP
http://pastebin.com/raw/5j4hc8gT,S-URL
http://pastebin.com/raw/6bwniBtB,S-URL
028caf3b1f5174ae092ecf435c1fccc2,S-FILE
7732d5349a0cfa1c3e4bcfa0c06949e4,S-FILE
9909f8558209449348a817f297429a48,S-FILE
63698ddbdff5be7d5a7ba7f31d0d592c,S-FILE
7c4e60685203b229a41ae65eba1a0e10,S-FILE
e2112439121f8ba9164668f54ca1c6af,S-FILE
India,S-LOC
MEA,E-IDTY
phishing,E-ACT
Notepad,S-TOOL
Chthonic,S-MAL
Nymaim,S-MAL
Unit42,S-SECTEAM
GitHub,S-TOOL
Microsoft,B-TOOL
Office,I-TOOL
VBA,B-TOOL
macro,E-TOOL
distributing,B-ACT
malware,E-ACT
VBA,S-TOOL
PowerShell,B-FILE
command,E-FILE
pivot,B-TOOL
point,E-TOOL
beginning,B-TIME
of,I-TIME
August,E-TIME
538ff577a80748d87b5e738e95c8edd2bd54ea406fe3a75bf452714b17528a87,S-SHA2
http://ditetec.com,S-DOM/ts.exe
http://ditetec.com,S-DOM/u2.exe
http://domass.com.ua,S-DOM/index.gif
http://firop.com,S-DOM/ego.exe
http://unoset.com,S-DOM/jpx.exe
http://unoset.com,S-DOM/sxr.exe
https://doci.download,S-DOM/inc.exe
https://farhenzel.co,S-DOM/gls.exe
https://farsonka.co,S-DOM/trb.exe
https://formsonat.co,S-DOM/mrb.exe
https://fortuma.co,S-DOM/scu.exe
https://iilliiill.bid,S-DOM/6ven.exe
https://iilliiill.bid,S-DOM/ven.exe
https://iilliiill.bid,S-DOM/ven.tvv
https://lom.party,S-DOM/mov.exe
https://naiillad.date,S-DOM/ex3.exe
https://naiillad.date,S-DOM/u3.exe
https://naiillad.date,S-DOM/vmer.exe
https://naiillad.date,S-DOM/vsync.exe
https://notepad-plus-plus.org/repository,S-DOM/7.x/7.4.2/npp.7.4.2.Installer.exe
https://prof.cricket,S-DOM/wp.exe
https://tvavi.win,S-DOM/pago.exe
the,B-TIME
past,I-TIME
two,I-TIME
months,E-TIME
August,S-TIME
recently,B-TIME
as,I-TIME
days,I-TIME
ago,E-TIME
29c7740f487a461a96fad1c8db3921ccca8cc3e7548d44016da64cf402a475ad,S-SHA2
2016-12-10,B-TIME
01,E-TIME
d5e56b9b5f52293b209a60c2ccd0ade6c883f9d3ec09571a336a3a4d4c79134b,S-SHA2
03,E-TIME
dd5f237153856d19cf20e80ff8238ca42047113c44fae27b5c3ad00be2755eea,S-SHA2
16,E-TIME
a5001e9b29078f532b1a094c8c16226d20c03922e37a4fca2e9172350bc160a0,S-SHA2
2016-12-20,B-TIME
18,E-TIME
8284ec768a06b606044defe2c2da708ca6b3b51f8e58cb66f61bfca56157bc88,S-SHA2
2017-07-05,B-TIME
10,E-TIME
f0ce51eb0e6c33fdb8e1ccb36b9f42139c1dfc58d243195aedc869c7551a5f89,S-SHA2
2017-07-09,B-TIME
20,E-TIME
145d47f4c79206c6c9f74b0ab76c33ad0fd40ac6724b4fac6f06afec47b307c6,S-SHA2
2017-07-10,B-TIME
08,E-TIME
dc8f34829d5fede991b478cf9117fb18c32d639573a827227b2fc50f0b475085,S-SHA2
2017-07-11,B-TIME
7fe1069c118611113b4e34685e7ee58cb469bda4aa66a22db10842c95f332c77,S-SHA2
02,E-TIME
5edf117e7f8cd176b1efd0b5fd40c6cd530699e7a280c5c7113d06e9c21d6976,S-SHA2
2017-07-12,B-TIME
23,E-TIME
2a80fdda87127bdc56fd35c3e04eb64a01a159b7b574177e2e346439c97b770a,S-SHA2
2017-07-13,B-TIME
00.,E-TIME
a9021e253ae52122cbcc2284b88270ceda8ad9647515d6cca96db264a76583f5,S-SHA2
2017-07-18,B-TIME
00,E-TIME
dd639d76ff6f33bbfaf3bd398056cf4e95e27822bd9476340c7703f5b38e0183,S-SHA2
e5a00b49d4ab3e5a3a8f60278b9295f3d252e3e04dadec2624bb4dcb2eb0fada,S-SHA2
2017-07-24,B-TIME
17,E-TIME
6263730ef54fbed0c2d3a7c6106b6e8b12a6b2855a03e7caa8fb184ed1eabeb2,S-SHA2
22,E-TIME
43bfaf9a2a4d46695bb313a32d88586c510d040844f29852c755845a5a09d9df,S-SHA2
2017-07-25,B-TIME
06,E-TIME
b41660db6dcb0d3c7b17f98eae3141924c8c0ee980501ce541b42dc766f85628,S-SHA2
9acdad02ca8ded6043ab52b4a7fb2baac3a08c9f978ce9da2eb51c816a9e7a2e,S-SHA2
07,E-TIME
2ddaa30ba3c3e625e21eb7ce7b93671ad53326ef8b6e2bc20bc0d2de72a3929d,S-SHA2
b836576877b2fcb3cacec370e5e6a029431f59d5070da89d94200619641ca0c4,S-SHA2
2017-07-26,B-TIME
12,E-TIME
0972fc9602b00595e1022d9cfe7e9c9530d4e9adb5786fea830324b3f7ff4448,S-SHA2
2c258ac862d5e31d8921b64cfa7e5a9cd95cca5643c9d51db4c2fcbe75fa957a,S-SHA2
2017-07-27,B-TIME
dd9c558ba58ac81a2142ecb308ac8d0f044c7059a039d2e367024d953cd14a00,S-SHA2
cb3173a820ac392005de650bbd1dd24543a91e72d4d56300a7795e887a8323b2,S-SHA2
2017-07-31,B-TIME
14,E-TIME
a636f49814ea6603534f780b83a5d0388f5a5d0eb848901e1e1bf2d19dd84f05,S-SHA2
677dd11912a0f13311d025f88caabeeeb1bda27c7c1b5c78cffca36de46e8560,S-SHA2
21,E-TIME
fdedf0f90d42d3779b07951d1e8826c7015b3f3e724ab89e350c9608e1f23852,S-SHA2
2017-08-01,B-TIME
142bf7f47bfbd592583fbcfa22a25462df13da46451b17bb984d50ade68a5b17,S-SHA2
2017-08-02,B-TIME
09,E-TIME
6f4b2c95b1a0f320da1b1eaa918c338c0bab5cddabe169f12ee734243ed8bba8,S-SHA2
fd5fd7058cf157ea249d4dcba71331f0041b7cf8fd635f37ad13aed1b06bebf2,S-SHA2
2017-08-04,B-TIME
5785c2d68d6f669b96c3f31065f0d9804d2ab1f333a90d225bd993e66656b7d9,S-SHA2
2017-08-07,B-TIME
675719a9366386034c285e99bf33a1a8bafc7644874b758f307d9a288e95bdbd,S-SHA2
msiexec.exe,S-FILE
POST,S-PROT
banking,B-MAL
Trojan,E-MAL
2014,S-TIME
Kaspersky,B-LOC
Lab,E-LOC
RC4,S-ENCR
amellet.bit,S-DOM
danrnysvp.com,S-DOM
ejtmjealr.com,S-DOM
firop.com,S-DOM
gefinsioje.com,S-DOM
gesofgamd.com,S-DOM
ponedobla.bit,S-DOM
unoset.com,S-DOM
July,S-TIME
Trojan,S-MAL
ejdqzkd.com,S-DOM
CERT.PL,S-IDTY
earlier,B-TIME
in,I-TIME
the,I-TIME
year,E-TIME
Talos,S-IDTY
Maltego,S-TOOL
PassiveTotal,B-TOOL
’s,I-TOOL
Passive,I-TOOL
DNS,E-TOOL
AutoFocus,B-TOOL
Maltego,I-TOOL
transforms,E-TOOL
ejX.com,S-DOM
other,B-MAL
malware,I-MAL
families,E-MAL
phishing,B-ACT
attacks,E-ACT
brontorittoozzo.com,S-DOM
randomessstioprottoy.net,S-DOM
DGA,S-MAL
Shamoon,S-MAL
IBM,B-SECTEAM
X-Force,I-SECTEAM
Incident,I-SECTEAM
Response,I-SECTEAM
and,I-SECTEAM
Intelligence,I-SECTEAM
Services,I-SECTEAM
(,I-SECTEAM
IRIS,I-SECTEAM
),I-SECTEAM
team,E-SECTEAM
Gulf,B-LOC
state,E-LOC
November,B-TIME
January,B-TIME
2017,E-TIME
Saudi,B-LOC
Arabia,E-LOC
states,E-LOC
X-Force,B-SECTEAM
IRIS,E-SECTEAM
X-Force,B-TOOL
IRIS,I-TOOL
responders,E-TOOL
C2,S-PROT
Office,E-TOOL
cv_itworx.doc,S-FILE
MD5,S-ENCR
45b0e5a457222455384713905f886bd4,S-MD5
528714aaaa4a083e72599c32c18aa146db503eee80da236b20aea11aa43bdf62,S-SHA1
http://mol.com-ho.me/cv_itworx.doc,S-URL
mol.com-ho.me,S-DOM
WHOIS,S-PROT
com-ho.me,S-DOM
October,B-TIME
cv.doc,S-FILE
f4d18316e367a80e1005f38445421b1f,S-MD5
cv_mci.doc,S-FILE
discount_voucher_codes.xlsm,S-FILE
19cea065aa033f5bcfa94a583ae59c08,S-MD5
Health_insurance_plan.doc,S-FILE
ecfc0275c7a73a9c7775130ebca45b74,S-MD5
Health_insurance_registration.doc,S-FILE
1b5e33e5a244d2d67d7a09c4ccf16e56,S-MD5
job_titles.doc,S-FILE
fa72c068361c05da65bf2117db76aaa8,S-MD5
job_titles_itworx.doc,S-FILE
43fad2d62bc23ffdc6d301571135222c,S-MD5
job_titles_mci.doc,S-FILE
ce25f1597836c28cf415394fb350ae93,S-MD5
Password_Policy.xlsm,S-FILE
03ea9457bf71d51d8109e737158be888,S-MD5
IT,B-SECTEAM
Worx,E-SECTEAM
MCI,S-IDTY
global,B-SECTEAM
software,I-SECTEAM
professional,I-SECTEAM
services,I-SECTEAM
organization,E-SECTEAM
Egypt,S-LOC
Saudi,B-IDTY
Arabia,I-IDTY
’s,I-IDTY
Commerce,I-IDTY
and,I-IDTY
Investment,E-IDTY
briefl.ink/{a-z0-9}[5],S-URL
e5b643cb6ec30d0d0b458e3f2800609f260a5f15c4ac66faf4ebf384f7976df6,S-SHA1
http://briefl.ink/qhtma,S-URL
ntg-sa.com,S-URL
ntg.sa.com,S-URL
Namer,B-IDTY
Trading,I-IDTY
Group,E-IDTY
maps-modon.club,S-URL
maps.modon.gov.sa,S-URL
Industrial,I-IDTY
Property,I-IDTY
Authority,E-IDTY
Flash,B-TOOL
player,E-TOOL
Windows,S-OS
The,B-MAL
first,I-MAL
one,E-MAL
http://139.59.46.154:3485/eiloShaegae1,S-URL
Pupy,B-TOOL
RAT,E-TOOL
second,I-MAL
script,E-MAL
Metasploit,S-TOOL
DWORD,B-ENCR
XOR,E-ENCR
http://45.76.128.165:4443/0w0O6,S-URL
Metasploit,B-MAL
’s,I-MAL
Meterpreter,E-MAL
ntertmgr32.exe,S-FILE
ntertmgr64.exe,S-FILE
vdsk911.sys,S-FILE
General,I-IDTY
Authority,I-IDTY
Civil,I-IDTY
Aviation,E-IDTY
2016,S-TIME
Shamoon2,S-MAL
IBM,S-IDTY
IP,S-TOOL
IPs,S-TOOL
URLs,S-TOOL
2a0df97277ddb361cecf8726df6d78ac,S-MD5
5e5ea1a67c2538dbc01df28e4ea87472,S-MD5
d30b8468d16b631cafe458fd94cc3196,S-MD5
104.218.120.128,S-IP
69.87.223.26,S-IP
5.254.100.200,S-IP
analytics-google.org,B-URL
:,I-URL
69/checkFile.aspx,E-URL
analytics-google.org,S-URL
69.87.223.26:8080/p,S-URL
get.adobe.go-microstf.com,S-DOM
go-microstf.com,S-DOM
45.63.10.99,S-IP
URL,S-TOOL
http://69.87.223.26:8080/eiloShaegae1,S-DOM
IOCs,S-TOOL
83be35956e5d409306a81e88a1dc89fd,S-MD5
URLs,B-IP
go-microstf.com,E-IP
69.87.223.26:8080/eiloShaegae1,S-IP
go-microstf.com/checkfile.aspx,S-IP
Google,B-TOOL
Analytics,E-TOOL
VirusTotal,S-TOOL
16,I-TIME
mid-October,S-TIME
analytics-google.org,S-IP
sloo.exe,S-FILE
Settings\Temp\sloo.exe,S-FILE
104.238.184.252,S-IP
Palo,B-LOC
Alto,E-LOC
Iranian,S-LOC
Magic,B-APT
Hound,E-APT
Rocket,B-APT
Kitten,E-APT
Dell,S-IDTY
PuppyRAT,S-APT
07d6406036d6e06dc8019e3ade6ee7de,S-MD5
analytics-google.org,B-IP
:,I-IP
69/checkFile.aspx,E-IP
Saudi,S-TOOL
analytics-google.org,B-DOM
:,I-DOM
69/checkFile.aspx,E-DOM
analytics-google.org,S-DOM
69.87.223.26:8080/p,S-DOM
69.87.223.26:8080/eiloShaegae1,S-DOM
FireEye,S-SECTEAM
a,B-ACT
sophisticated,I-ACT
campaign,E-ACT
Mongolian,B-IDTY
government,E-IDTY
macros,B-MAL
in,I-MAL
a,I-MAL
malicious,I-MAL
Microsoft,I-MAL
Word,I-MAL
document,E-MAL
Poison,B-MAL
Ivy,E-MAL
remote,B-TOOL
access,I-TOOL
tool,E-TOOL
The,B-APT
threat,I-APT
actors,E-APT
Customized,B-TOOL
evasion,I-TOOL
based,I-TOOL
on,I-TOOL
victim,I-TOOL
profile,E-TOOL
Fileless,B-TOOL
execution,I-TOOL
persistence,E-TOOL
threat,B-APT
four,B-TOOL
stages,I-TOOL
PowerShell,I-TOOL
scripts,E-TOOL
Decoy,B-TOOL
documents,E-TOOL
Microsoft,S-IDTY
social,B-TOOL
engineering,E-TOOL
macro,S-MAL
Word,I-TOOL
malicious,B-MAL
PowerShell,I-MAL
payload,E-MAL
AppLocker,B-TOOL
whitelisting,I-TOOL
bypass,E-TOOL
script,S-TOOL
userinit.exe,S-FILE
multiple,B-TOOL
payloads,E-TOOL
registry,S-TOOL
webmail,S-TOOL
application,B-TOOL
solution,E-TOOL
AppLocker,S-TOOL
April,B-TIME
regsvr32.exe,S-FILE
legitimate,B-TOOL
Microsoft,I-TOOL
executable,E-TOOL
Script,B-TOOL
Component,E-TOOL
SCT,S-TOOL
Poison,B-VULNAME
Ivy,E-VULNAME
publicly,B-TOOL
available,I-TOOL
security,I-TOOL
bypasses,I-TOOL
HX,B-TOOL
Exploit,I-TOOL
Guard,E-TOOL
behavior-based,B-TOOL
HIDDEN,B-APT
COBRA,E-APT
North,B-LOC
Korea,E-LOC
DDoS,B-TOOL
Botnet,I-TOOL
Infrastructure,E-TOOL
Department,B-IDTY
Homeland,I-IDTY
Security,E-IDTY
DHS,S-IDTY
Federal,B-IDTY
Bureau,I-IDTY
Investigation,E-IDTY
FBI,S-IDTY
Korean,E-LOC
the,B-LOC
United,I-LOC
States,E-LOC
U.S.,S-LOC
Government,S-IDTY
Internet,B-PROT
Protocol,E-PROT
DeltaCharlie,S-MAL
distributed,B-ACT
denial-of-service,E-ACT
DDoS,S-ACT
botnet,B-TOOL
indicators,B-TOOL
compromise,E-TOOL
Korean,B-IDTY
government,S-IDTY
https://www.us-cert.gov/hiddencobra,S-URL
National,B-IDTY
Cybersecurity,I-IDTY
Communications,I-IDTY
Integration,I-IDTY
Center,E-IDTY
NCCIC,S-IDTY
IP,S-PROT
addresses,E-TOOL
IP,S-PROT
IP,S-PROT
August,B-TIME
23,I-TIME
2009,S-TIME
Exfiltration,S-ACT
Lazarus,S-APT
Guardians,B-APT
of,I-APT
Peace,E-APT
botnet,S-ACTs
keyloggers,S-TOOL
tools,E-TOOL
RATs,S-TOOL
wiper,S-MAL
Destover,S-MAL
Wild,B-MAL
Positron,E-MAL/Duuzer
Hangman,S-MAL
server,B-PROT
message,I-PROT
block,E-PROT
SMB,S-PROT
worm,S-MAL
Adobe,S-IDTY
CVE-2015-6585,S-VULID
Hangul,B-TOOL
Processor,E-TOOL
CVE-2015-8651,S-VULID
Adobe,B-TOOL
Flash,I-TOOL
Player,E-TOOL
CVE-2016-0034,S-VULID
Silverlight,E-TOOL
CVE-2016-1019,S-VULID
CVE-2016-4117,S-VULID
Flash,S-TOOL
Silverlight,S-TOOL
IP,S-PROT
botnet,S-TOOL
bot,S-TOOL
Novetta,S-SECTEAM
IP,S-PROT
.csv,S-FILE
.stix,S-FILE
IP,S-PROT
Domain,B-TOOL
Name,I-TOOL
System,E-TOOL
DNS,S-TOOL
Network,B-PROT
Time,I-PROT
NTP,S-PROT
Carrier,B-TOOL
Grade,I-TOOL
NAT,E-TOOL
CGN,S-TOOL
IP,S-PROT
hashes,E-TOOL
network,B-TOOL
signatures,E-TOOL
YARA,S-TOOL
IP,S-PROT
IP,S-PROT
IP,S-PROT
system,S-TOOL
System,S-TOOL
host-based,B-TOOL
rules,E-TOOL
operating,B-TOOL
systems,E-TOOL
software,S-TOOL
patches,S-TOOL
software,E-MAL
firewalls,S-TOOL
Firewalls,S-TOOL
IP,S-PROT
whitelisting,E-TOOL
external-facing,B-TOOL
Windows,B-TOOL
Enhanced,B-TOOL
Mitigation,I-TOOL
Experience,I-TOOL
Toolkit,E-TOOL
EMET,S-TOOL
Control,I-PROT
Message,I-PROT
ICMP,S-PROT
Simple,B-PROT
Network,I-PROT
Management,I-PROT
SNMP,S-PROT
web,B-TOOL
services,E-TOOL
Least,B-TOOL
Privilege,E-TOOL
Remote,B-PROT
Desktop,I-PROT
RDP,S-PROT
virtual,B-TOOL
private,I-TOOL
network,E-TOOL
VPN,S-TOOL
firewall,S-TOOL
KASPERAGENT,S-MAL
ThreatConnect,S-IDTY
Palestinian,B-IDTY
–,I-TIME
May,I-TIME
May,B-TIME
Gaza,S-LOC
ThreatConnect,S-SECTEAM
AlienVault,S-IDTY
6/13,S-TIME
United,B-LOC
Israel,S-LOC
Palestinian,B-LOC
Territories,E-LOC
2015,E-TIME
Unit,B-SECTEAM
42,E-SECTEAM
ClearSky,B-IDTY
Cyber,I-IDTY
Targeted,B-ACT
Attacks,E-ACT
Middle,B-LOC
East,E-LOC
MICROPSIA,S-MAL
c,B-FILE
:,I-FILE
UsersUSADocumentsVisual,I-FILE
Studio,I-FILE
2008ProjectsNew,I-FILE
folder,I-FILE
(,I-FILE
2,I-FILE
),I-FILE
kasperReleasekasper.pdb,E-FILE
mailsinfo.net,S-DOM
stikerscloud.com,S-DOM
Chrome,S-TOOL
Opera,S-TOOL
6843AE9EAC03F69DF301D024BFDEFC88,S-MD5
testproj.exe,S-FILE
4FE7561F63A71CA73C26CB95B28EAEE8,S-MD5
التفاصيل,B-FILE
الكاملة,I-FILE
لأغتيال,I-FILE
فقهاء.r24,E-FILE
Hamas,S-IDTY
March,B-TIME
24,I-TIME
VxStream,S-TOOL
Word,S-TOOL
treestower.com,S-DOM
Malwr.com,S-DOM
2DE25306A58D8A5B6CBE8D5E2FC5F3C5,S-MD5
vlc.exe,S-FILE
YouTube,B-TOOL
icon,E-TOOL
windowsnewupdates.com,S-DOM
late,B-TIME
March,E-TIME
C66F88D2D76D79210D568D7AD7896B45,S-MD5
DCF3AA484253068D8833C7C5B019B07,S-MD5
0B4E44256788783634A2B1DADF4F9784,S-MD5
E44F0BD2ADFB9CBCABCAD314D27ACCFC,S-MD5
10,I-TIME
February,B-TIME
Fatah,S-IDTY
West,B-LOC
Bank,E-LOC
195.154.110.237,S-IP
Farsight,S-IDTY
DNSDB,S-TOOL
upfile2box.com,S-DOM
7aga.net,S-DOM
Gaza,B-LOC
",",I-LOC
Palestine,E-LOC
Fatah,B-IDTY
party,E-IDTY
February,S-TIME
United,B-IDTY
Nations,I-IDTY
’,I-IDTY
Office,E-IDTY
Coordination,B-IDTY
Humanitarian,I-IDTY
April,S-TIME
May,S-TIME
Palestine,S-LOC
APT28,S-APT
Military,B-IDTY
Government,I-IDTY
Organizations,E-IDTY
Europe,B-LOC
and,I-LOC
South,I-LOC
America,E-LOC
presidential,B-IDTY
election,E-IDTY
Swallowtail,S-APT
Fancy,B-APT
Bear,E-APT
2017,S-TIME
2018,S-TIME
Europe,S-LOC
South,B-LOC
2007,E-TIME
Spring,B-TIME
Democratic,B-IDTY
National,I-IDTY
Committee,E-IDTY
DNC,S-IDTY
World,B-IDTY
Anti,I-IDTY
Doping,I-IDTY
Agency,E-IDTY
WADA,S-IDTY
Bears,E-APT
Sofacy,S-MAL
Trojan.Sofacy,S-FILE
Seduploader,S-MAL
Backdoor.SofacyX,S-FILE
X-Agent,S-MAL
Mac,S-OS
OSX.Sofacy,S-FILE
Trojan.Shunnael,S-FILE
X-Tunnel,S-MAL
ESET,S-SECTEAM
UEFI,S-TOOL
Unified,B-TOOL
Extensible,I-TOOL
Firmware,I-TOOL
Interface,E-TOOL
Lojax,S-MAL
Symantec,S-SECTEAM
Trojan.Lojax,S-FILE
Earworm,S-APT
Zebrocy,S-APT
Central,B-LOC
Asia,E-LOC
Eastern,B-LOC
Trojan.Zekapab,S-FILE
Backdoor.Zekapab,S-FILE
command,B-TOOL
control,E-TOOL
C&C,S-TOOL
Grizzly,B-ACT
Steppe,E-ACT
Trojan.Sofacy,S-MAL
Backdoor.SofacyX,S-MAL
Infostealer.Sofacy,S-MAL
OSX.Sofacy,S-MAL
Trojan.Shunnael,S-MAL
Trojan.Lojax,S-MAL
Trojan.Zekapab,S-MAL
Backdoor.Zekapab,S-MAL
ZEKAPAB,S-MAL
SNAKEMACKEREL,S-APT
Sofacy,S-APT
Pawn,B-APT
Storm,E-APT
Sednit,S-APT
Group,B-APT
74,E-APT
Tsar,B-APT
Team,E-APT
Strontium,S-APT
British,S-LOC
Dutch,S-LOC
Russian,B-IDTY
military,I-IDTY
intelligence,I-IDTY
service,E-IDTY
RIS,S-IDTY
Organisation,B-IDTY
for,I-IDTY
the,I-IDTY
Prohibition,I-IDTY
Chemical,I-IDTY
Weapons,E-IDTY
OPCW,S-IDTY
Kingdom,I-IDTY
Defence,I-IDTY
Science,I-IDTY
Technology,I-IDTY
Laboratory,E-IDTY
DSTL,S-IDTY
Foreign,I-IDTY
Commonwealth,I-IDTY
FCO,S-IDTY
UK,S-LOC
Zekapab,S-MAL
NATO,S-IDTY
Russia,S-LOC
International,B-IDTY
Olympic,I-IDTY
IOC,S-IDTY
EU,S-IDTY
States,E-IDTY
Office,S-IDTY
Delphi,S-TOOL
iDefense,S-IDTY
109.248.148.42,S-IP
Brexit,B-FILE
15.11.2018.docx,E-FILE
405655be03df45881aa88b55603bef1d,S-MD5
Grizli777,S-IDTY
http://109.248.148.42/office/thememl/2012/main/attachedTemplate.dotm,S-URL
settings.xml.rels,S-FILE
DOCX,S-TOOL
Base64,S-ENCR
.dotm,S-FILE
attachedTemplate.dotm,S-FILE
018611b879b2bbd886e86b62484494da,S-MD5
templates.dotm,S-FILE
2a794b55b839b3237482098957877326,S-MD5
http://109.248.148.42/officeDocument/2006/relationships/templates.dotm,S-URL
.docm,S-FILE
ntslwin.exe,S-FILE
7e67122d3a052e4755b02965e2e56a2e,S-MD5
~de03fc12a.docm,S-FILE
