Nationality,Nation
Argentino,Argentina
Argive,Argos
Århusianer,Århus
Arizonian,Arizona
Arkansawyer,Arkansas
Arkie,Arkansas
Armachian,Armagh
Armenian,Armenia
Armidilian,Armidale
Arretine,Arretium
Arriacense,Guadalajara
Aruban,Aruba
Arunachali,ArunachalPradesh
Arundense,Ronda
Ashburnian,Ashbourne
Ashevillain,Asheville
Asian,Asia
Assamese,Assam
Asturian,Asturias
Asturiano,Asturias
Athenian,Athens
Atlantan,Atlanta
Atlantean,Atlantis
Atlantine,Atlantis
Auckland,Auckland
Aucklander,Auckland
Aurgitano,Jaén
Auroran,Aurora
Ausense,Vich
Ausentano,Vich
Ausonense,Vich
Aussie,Australia
AustAgding,AustAgder
Austinite,Austin
Austonian,Austin
Australasian,Australasia
Australian,Australia
Australianb,Australia
Australien,Australia
Austrian,Austria
AustroHungarian,AustriaHungary
Avileño,Ávila
Ayachunano,Ayacucho
Ayacuchano,Ayacucho
Azawadi,Azawad
Azerbaijani,Azerbaijan
Azeri,Azerbaijan
AzeriS,Azerbaijan
Azragi,Hazara
Babylonian,Babylonia
Bactrian,Bactria
Badajoceño,Badajoz
Badajocense,Badajoz
Badger,Wisconsin
Bæring,Bærum
Bahamian,TheBahamas
Bahraini,Bahrain
Baiano,Bahia
Bajacaliforniano,BajaCalifornia
Bajan,Barbados
Bajoran,Bajor
Bajun,Barbados
Bajuns,Barbados
Balear,IllesBalears
Balinese,Bali
Balkan,Balkans
Ballaratian,Ballarat
Baloch,Balochistan
Balochi,Balochistan
Balochistani,Balochistan
Baltic,BalticRegion
Baltimorean,Baltimore
Baltimoron,Baltimore
Baluch,Balochistan
BananaBender,Queensland
Bananabender,Queensland
Bandungite,Bandung
Bañezano,LaBañeza
Bangalorean,Bangalore
Bangkokian,Bangkok
Bangla,WestBengal
Bangladeshi,Bangladesh
Barbadian,Barbados
Barbudan,AntiguaAndBarbuda
Barcelonense,Barcelona
Barcelonés,Barcelona
Barcelonian,Barcelona
Barranquino,Barranco
BarrigaVerde,SantaCatarina
Barrovian,BarrowInFurness
Barthélemois,SaintBarthélemy
Bashkir,Bashkortostan
Basilan,Basilan
Basilanese,Basilan
Basileño,Basilan
Basotho,Lesotho
Basque,BasqueCountry
Bataan,Bataan
Bataanese,Bataan
Bataeño,Bataan
Batangan,Batangas
Batangueño,Batangas
Batanic,Batanes
Bathonian,Bath
BatonRougean,BatonRouge
Batswana,Botswana
Bavarian,Bavaria
BayOfPlenty,BayOfPlentyRegion
BayStater,Massachusetts
Bedfordian,Bedford
Beijinger,Beijing
Beiruti,Beirut
Belarusian,Belarus
Belenense,Belém
Belfast,Belfast
Belfastian,Belfast
Belgian,Belgium
Belgrader,Belgrade
Belgradian,Belgrade
Belizean,Belize
Bellifontain,Fontainebleau
BeloHorizontino,BeloHorizonte
Bendigonian,Bendigo
Beneventan,Benevento
Bengalese,WestBengal
Bengali,Bengal
Benguet,Benguet
Benguetian,Benguet
Beninois,Benin
Beotian,Boeotia
Bergamasque,Bergamo
Bergenser,Bergen
Berkeleyan,Berkeley
Berliner,Berlin
Bermudan,Bermuda
Bermudian,Bermuda
Bernese,Bern
Bessarabian,Bessarabia
Beturiense,Badajoz
Bharati,Bharat
Bhutanese,Bhutan
Biafran,Biafra
BigBender,Tennessee
Bihari,Bihar
Bilbilitano,Calatayud
Biliran,Biliran
Biliranian,Biliran
Biot,BritishIndianOceanTerritory
Birminghamian,Birmingham
BissauGuinean,GuineaBissau
Blefuscudian,Blefuscu
BlueHenSChicken,Delaware
Bluenoser,NovaScotia
BoaVistense,BoaVista
Boeotian,Boeotia
Bogotan,Bogotá
Bohemian,Bohemia
Boholan,Bohol
Boholano,Bohol
Boius,Boiohaemum
Bolivian,Bolivia
Bolognese,Bologna
Boltonian,Bolton
Bonaerense,BuenosAires
Bonaire,Bonaire
BoninIslander,BoninIslands
Bordelais,Bordeaux
Boricua,PuertoRico
Bornean,Borneo
Bornholmer,Bornholm
Bosnian,BosniaAndHerzegovina
BosnianHerzegovinian,BosniaAndHerzegovina
Bosphoran,Bosporus
Bosporan,Bosporus
Bostonian,Boston
Botswanan,Botswana
Boulderite,Boulder
BouvetIsland,BouvetIsland
Brasileiro,Brazil
Brasiliense,Brasilia
Bratislavan,Bratislava
Brazilian,Brazil
Brescian,Brescia
Breton,Brittany
Brigantino,ACoruña
Brightonian,Brighton
Brisbanite,Brisbane
Brisso,Brisbane
Bristolian,Bristol
Brisvegan,Brisbane
British,UnitedKingdom
BritishColumbian,BritishColumbia
BritishVirginIsland,BritishVirginIslands
BritishVirginIslander,BritishVirginIslands
Briton,Britain
Brobdingnagian,Brobdingnag
Bronx,TheBronx
Brooklyn,Brooklyn
Brooklynite,Brooklyn
Brummie,Birmingham
Bruneian,Brunei
Bruttian,Bruttium
Bruxellois,Brussels
Bucharestian,Bucharest
Buckeye,Ohio
Budapester,Budapest
Budapesti,Budapest
Buddie,Paisley
Buffalonian,Buffalo
Bukidnon,Bukidnon
Bulacan,Bulacan
Bulacanese,Bulacan
Bulaqueño,Bulacan
Bulgarian,Bulgaria
Burcés,Burgos
Burgalés,Burgos
Burgense,Burgos
Burgués,Burgos
Burgundian,Burgundy
Burkinabe,BurkinaFaso
Burkinabé,BurkinaFasoa
Burkinabè,BurkinaFaso
Burmese,Burma
Burqueño,Albuquerque
Burundian,Burundi
Butternut,Tennessee
Buzzard,Georgia
Byzantine,Byzantium
CaboVerdean,CaboVerde
Cacereño,Cáceres
Cadiceño,Cádiz
Cadicense,Cádiz
Caditano,Cádiz
Cagayan,Cagayan
Cagayanese,Cagayan
Cagayano,Cagayan
Cagayanon,CagayanDeOro
Cairene,Cairo
Cairnsitte,Cairns
Cajamarquino,Cajamarca
Cajun,Lousiana
Calabrese,Calabria
Calabrian,Calabria
Calcuttan,Kolkata
Calgarian,Calgary
Californian,California
Californio,California
Camarinense,CamarinesSur
Cambodian,Cambodia
Cameroonian,Cameroon
Camiguin,Camiguin
Campanian,Campania
Campechan,Campeche
Campechano,Campeche
Campineiro,Campinas
Canadian,Canada
Canadien,Canada
Canadienne,Canada
Canarese,Karnataka
Canarian,CanaryIslands
Canberran,Canberra
Candelariero,SantaCruzDeTenerife
Cantab,Cambridge
Cantabrian,Cantabria
Cantabrigian,Cambridge
Cantabrio,Cantabria
Cántabro,Cantabria
Canterbury,CanterburyRegion
Cantonese,Canton
Cantuarian,Canterbury
Canuck,Canada
CapeVerdian,CapeVerde
Caper,CapeBreton
Capetonian,CapeTown
Capitalino,MexicoCity
Capixaba,EspíritoSanto
Capizeño,Capiz
Capizian,Capiz
Caracense,Guadalajara
Caraquenian,Caracas
Cardassian,CardassiaPrime
Cardi,Aberteifi
Cardiffian,Cardiff
Carian,Caria
Caribbean,Caribbean
Carinthian,Carinthia
Carioca,RioDeJaneiro
Carlislian,Carlisle
Carlopolitano,SãoCarlos
Carriacense,Guadalajara
Carsonite,CarsonCity
Carthaginian,Carthage
Carystian,Carystus
Castellano,CastillaLaMancha
Castellanomanchego,CastillaLaMancha
Castellonense,Castellón
Castellonero,Castellón
Castilian,Castile
Catalá,Catalonia
Catalan,Catalonia
Catalán,Catalonia
Catalonian,Catalonia
Catamarqueño,Catamarca
Catanduanean,Catanduanes
Catandueño,Catanduanes
Catarinense,SantaCatarina
Caucasian,Caucasus
Caucasic,Caucasus
Cavitenian,Cavite
Caviteño,Cavite
Caymanian,CaymanIslands
Cearense,Ceará
Cebu,Cebu
Cebuan,Cebu
Cebuano,Cebu
CentralAfrican,CentralAfricanRepublic
CentralAmerican,CentralAmerica
Cephalonian,Cephalonia
Cesaraugustano,Zaragoza
Cesetano,Tarragona
Ceutí,Ceuta
Ceylonese,Ceylon
Chachapoyano,Chachapoyas
Chadian,Chad
Chalaco,Callao
Chalcidian,Chalcis
Chandigarhi,Chandigarh
ChannelIsland,Guernsey
ChannelIslander,Guernsey
Chaqueño,Chaco
Charlottean,Charlotte
Charro,Salamanca
Chechen,Chechnya
Chelmsfordian,Chelmsford
Chennaite,Chennai
Chetumaleño,Chetumal
Chhattisgarhi,Chhattisgarh
Chian,Chios
Chiapan,Chiapas
Chiapaneco,Chiapas
Chicagoan,Chicago
Chihuahuan,Chihuahua
Chihuahuense,Chihuahua
Chilango,MexicoCity
Chilean,Chile
Chilpancingueño,Chilpancingo
Chimbotano,Chimbote
China,China
Chinese,China
Chino,China
Chorrillano,Chorrillos
ChristmasIsland,ChristmasIsland
ChristmasIslander,ChristmasIsland
Chubutense,Chubut
Cincinnatian,Cincinnati
CitizenOfTheHolySee,VaticanCity
Ciudadrealeño,CiudadReal
Ciudadrealino,CiudadReal
Clevelander,Cleveland
Cluniense,CiudadReal
Coahuilan,Coahuila
Coahuilense,Coahuila
Cockney,London
Cockroach,NewSouthWales
CocosIsland,CocosIslands
CocosIslander,CocosIslands
Colcestrian,Colchester
Colchian,Colchis
Colimeño,Colima
Colimense,Colima
Colombian,Colombia
Coloradoan,Colorado
Colossian,Colossae
Comeperros,Huancayo
Comoran,Comoros
Comorian,Comoros
Compostelan,CompostelaValley
Comval,CompostelaValley
Comvaleño,CompostelaValley
Conch,KeyWest
Confederate,ConfederateStatesOfAmerica
Congolese,RepublicOfTheCongo
Connecticotian,Connecticut
Connecticutensian,Connecticut
Connecticuter,Connecticut
Connecticutian,Connecticut
Connetian,Connecticut
Conquense,Cuenca
Consentian,Consentia
CookIsland,CookIslands
CookIslander,CookIslands
Copenhagener,Copenhagen
Corcyrean,Corcyra
Cordobense,Córdoba
Cordobés,Córdoba
Corfiot,Corfu
Corinthian,Corinth
Cork,Cork
Corkonian,CountyCork
Corncracker,Kentucky
Cornhusker,Nebraska
Cornichon,Reims
Cornish,Cornwall
Correntino,Corrientes
Corsican,Corsica
Cortubí,Córdoba
Coruñés,ACoruña
Cosetano,Tarragona
CostaRican,CostaRica
Cotabatan,Cotabato
Cotabateño,Cotabato
Cotabato,Cotabato
Couronian,Courland
Coventrian,Coventry
Cracker,Florida
Cracovian,Kraków
Cretan,Crete
Crimean,Crimea
Croat,Croatia
Croatian,Croatia
Crotonian,Croton
CrowEater,SouthAustralia
Croweater,SouthAustralia
Cruceño,SantaCruzDeLaSierra
Crucian,StCroix
Cruzan,StCroix
CSA,ConfederateStatesOfAmerica
Cuban,Cuba
Cuencano,Cuenca
Cuernavaqueño,Cuernavaca
Cuernavaquense,Cuernavaca
Culiacanense,Culiacán
Cumbrian,Cumbria
Curaçaoan,Curaçao
Curitibano,Curitiba
Curitibense,Curitiba
Curonian,Courland
Cuzqueño,Cuzco
Cycladian,Cyclades
Cypriot,Cyprus
Cypriote,Cyprus
Cyrenaic,Cyrenaica
Cyrene,Cyrenaica
Cyrenian,Cyrene
Czech,CzechRepublic
Czechb,Czechoslovakia
Czechoslovak,Czechoslovakia
Czechoslovakian,Czechoslovakia
Dacian,Dacia
Dagestani,Dagestan
Dahomeyan,Dahomey
Dalatese,DaLat
Dallasite,Dallas
Dalmatian,Dalmatia
Damanese,DamanAndDiu
Damascene,Damascus
Dane,Denmark
Danish,Denmark
Dansker,Denmark
Danubian,DanubeRiver
Darwinian,Darwin
Davaoeño,Davao
Dawsonite,DawsonCity
Daytonian,Dayton
Defeño,FederalDistrict
Delawarean,Delaware
Delhian,Delhi
Delhiite,Delhi
Delhite,Delhi
Delian,Delos
Denver,Denver
Denverite,Denver
Derry,Derry
Detroiter,Detroit
Devonian,Devon
Devonportian,Devonport
Dinagat,DinagatIslands
Dinagatan,DinagatIslands
Diuese,DamanAndDiu
Djibouti,Djibouti
Djiboutian,Djibouti
Dodecanesian,Dodecanese
Dominican,Dominica
DownEaster,Maine
Downeaster,Maine
Drammenser,Drammen
Dresdener,Dresden
Dublin,Dublin
Dubliner,Dublin
Duluthian,Duluth
Dundonian,Dundee
Dunedin,Dunedin
Dunedinite,Dunedin
Dunelmensis,UniversityOfDurham
Duopontino,Pontevedra
Duosicilian,TwoSicilies
Durangoan,Durango
Duranguense,Durango
Durban,Durban
Durbanite,Durban
Dutch,Netherlands
EastCoast,GisborneRegion
EastMalaysian,EastMalaysia
EastMindorenian,OrientalMindoro
EastMisamis,MisamisOriental
EastNegros,NegrosOriental
EastTimorese,EastTimor
EasternDavao,DavaoOriental
EasternSamarian,EasternSamar
Ebjergenser,Esbjerg
Ecuadorian,Ecuador
Edinbourgeois,Edinburgh
Edinburgensian,Edinburgh
Edinburgher,Edinburgh
Edmontonian,Edmonton
Edonian,Edonia
Egabrense,Cabra
Egestan,Egesta
Egyptian,Egypt
ElPaseño,ElPaso
ElPasoan,ElPaso
Elamite,Elam
Elamitic,Elam
Elamitish,Elam
Eleusian,Eleusina
Eleusinian,Eleusina
Elian,Elis
Emirati,UnitedArabEmirates
Emirian,UnitedArabEmirates
English,England
Englishman,England
Englishwoman,England
Entrerriano,EntreRios
Ephesian,Ephesus
Epidamnian,Epidamnus
Epidaurian,Epidaurus
Epirote,Epirus
Equatoguinean,EquatorialGuinea
EquatorialGuinean,EquatorialGuinea
Eretrian,Eretria
Erieite,Erie
Eritrean,Eritrea
EspíritoSantense,EspíritoSanto
Essiburn,Ashbourne
Estonian,Estonia
Ethiopian,Ethiopia
Etruscan,Etruria
Euboean,Euboea
Eurasian,Eurasia
European,Europe
Exonian,Exeter
Extremaduran,Extremadura
FalklandIsland,FalklandIslands
FalklandIslander,FalklandIslands
Falstring,Falster
Faridabadi,Faridabad
Faroese,FaroeIslands
Faroite,Faro
Ferengi,Ferenginar
Fife,Fife
Fifer,Fife
Fijian,Fiji
Filipino,Philippines
Finn,Finland
Finnic,Finland
Finnish,Finland
Finnmarking,Finnmark
Flatlander,Michigan
Fleming,Flanders
Flemish,Flanders
Florentia,Florence
Florentine,Florence
Florianopolitano,Florianópolis
FloridaCracker,Florida
Floridan,Florida
Floridian,Florida
Fluminense,RioDeJaneiro
Formoseño,Formosa
FortWorthian,FortWorth
Fortalezense,Fortaleza
Fox,Maine
FrancoAlbertan,Alberta
FrancoManitobain,Manitoba
Franconian,Franconia
FrancoOntarian,Ontario
FrancoSaskatchewanian,Saskatchewan
Frankfurter,Frankfurt
Frederictonian,Fredericton
French,France
FrenchGuianese,FrenchGuiana
FrenchPolynesian,FrenchPolynesia
FrenchSouthernTerritories,FrenchSouthernTerritories
Frenchman,France
Frenchwoman,France
Friesian,Friesland
Frisian,Friesland
Fueguino,TierraDelFuego
Fukuokan,Fukuoka
Futunan,WallisAndFutuna
Fynbo,Funen
Gabonese,Gabon
Gaderita,Cádiz
Gaditano,Cádiz
Galatian,Galatia
Galician,Galicia
Galilean,Galilee
Gallaecus,Gallaecia
Galleguense,RíoGallegos
Gallifreyan,Gallifrey
Gallovidian,Galloway
Galway,Galway
Galwegian,Galway
Gambian,TheGambia
Ganadí,Granada
Garnatí,Granada
Gascon,Gascony
Gaúcho,RioGrandeDoSul
Gaulish,Gallia
Geat,Geatland
Genevan,Geneva
Genevese,Geneva
Genoese,Genoa
Genoshan,Genosha
Genovese,Genoa
Geordie,Newcastle
Georgian,Georgia
German,Germany
Germanian,Germania
Germanus,Germania
Germistonian,Germiston
Gerundense,Girona
Gerundí,Girona
Ghanaian,Ghana
Gibraltar,Gibraltar
Gibraltarian,Gibraltar
Gimnesiense,IllesBalears
Gironés,Girona
Gisborne,GisborneRegion
Glaswegian,Glasgow
Goan,Goa
Goanese,Goa
Goenkar,Goa
GoldCoast,GoldCoast
GooberGrabber,Georgia
Gozitan,Gozo
Granadés,Granada
Granadí,Granada
Granadino,Granada
GrandRapidian,GrandRapids
Grasshopper,Kansas
Grazer,Graz
Greek,Greece
Greenlandic,Greenland
Greenvillian,Greenville
Grenadian,Grenada
Guadalajareño,Guadalajara
Guadalajarense,Guadalajara
Guadalupense,Guadalupe
Guadeloupe,Guadeloupe
Guadeloupean,Guadeloupe
Guamanian,Guam
Guambat,Guam
Guanajuateño,Guanajuato
Guanajuatense,Guanajuato
Guatemalan,Guatemala
Guernsey,Guernsey
Guerreran,Guerrero
Guerrerense,Guerrero
Guianan,Guiana
Guimarasian,Guimaras
GuineaBissauan,GuineaBissau
Guinean,Guinea
Guipuzcoano,Guipúzcoa
Gujarati,Gujarat
Gurkhas,Nepal
Guyanese,Guyana
Hagenaar,TheHague
Hagenees,TheHague
Haitian,Haiti
Haldenser,Halden
Halifaxian,Halifax
Haligonian,Halifax
Halling,Hallingdal
Hamburger,Hamburg
Hamiltonian,Hamilton
Hanoian,Hanoi
Hanoverian,Hanover
Harcourtian,PortHarcourt
Harrovian,Harrow
Hartlepudlian,Hartlepool
Haryanvi,Haryana
Hastingite,Hastings
Haugesunder,Haugesund
HawaiiResident,Hawaii
Hawaiian,Hawaii
HawkeSBay,HawkeSBayRegion
Hawkeye,Iowa
Hayastani,Hayastan
Hazaragi,Hazara
HeardIsland,HeardIslandAndMcdonaldIslands
Hebridean,Hebrides
Hedmarking,Hedmark
Hellene,Greece
Hellenic,Greece
Helsingoraner,Elsinore
Helsinkian,Helsinki
Hermosillense,Hermosillo
Herzegovinian,BosniaAndHerzegovina
Hessian,Hesse
Hidalguense,Hidalgo
Hidrocálido,Aguascalientes
Himachali,HimachalPradesh
Himmerlænding,Himmerland
Hiroshiman,Hiroshima
Hispalense,Seville
Hispanic,Hispania
Hobartian,Hobart
Hokkaidoan,Hokkaido
Hokkaidoite,Hokkaido
Hollander,Netherlands
Holsteinian,Holstein
Honduran,Honduras
HongKong,HongKong
HongKongChinese,HongKong
HongKonger,HongKong
Hongkonger,HongKong
Hongkongese,HongKong
Hongkongish,HongKong
Honolulan,Honolulu
Honshuan,Honshu
Hoosier,Indiana
Hordalending,Hordaland
Houstonian,Houston
Huanca,Huancayo
Huancaíno,Huancayo
Huancavelicano,Huancavelica
Huanuqueño,Huanuco
Huaracino,Huaraz
Huelveño,Huelva
Hunanese,Hunan
Hungarian,Hungary
Hyderabadi,Hyderabad
Iberian,Iberia
Icelandic,Iceland
Idahoan,Idaho
Ifugao,Ifugao
Iguaçuense,FozDoIguaçu
IKiribati,Kiribati
Iliberitano,Granada
Illinian,Illinois
Illinoian,Illinois
Illinoisan,Illinois
Illinoisian,Illinois
Illyrian,Illyria
Ilocan,IlocosSur
Ilocano,IlocosSur
Iloilo,Iloilo
Iloiloan,Iloilo
Ilonggo,Iloilo
Indian,India
Indianian,Indiana
Indochinese,Indochina
Indonesian,Indonesia
Ingush,Ingushetia
Innuit,Alaska
Invercargill,Invercargill
Invernessian,Inverness
Ionian,Ionia
IowaCitian,IowaCity
Iowan,Iowa
Iowegian,Iowa
Iqueño,Ica
Irani,Iran
Iranian,Iran
Iraqi,Iraq
Irish,Ireland
Irishman,Ireland
Irishwoman,Ireland
Irmite,Irmo
Isabelan,Isabela
Islamabadi,Islamabad
Islander,Hawaii
Israeli,Israel
Israelite,Israel
Istanbulite,Istanbul
Itabirano,Itabira
Italian,Italy
Ivatan,Batanes
Ivatanic,Batanes
Ivorian,IvoryCoast
IvoryCoast,IvoryCoast
IwoJiman,IwoJima
Izmirian,Izmir
Jack,Swansea
Jacksonvillian,Jacksonville
Jaenés,Jaén
Jakartan,Jakarta
Jaliscan,Jalisco
Jalisciense,Jalisco
Jamaican,Jamaica
Jammu,JammuAndKashmir
JanMayen,JanMayen
Janner,Cornwall
Japanese,Japan
Jarocho,Veracruz
Jaujano,Jauja
Javan,Java
Javanese,Java
Jaxon,Jacksonville
Jerseyan,Jersey
Jerseyite,NewJersey
Jerusalemite,Jerusalem
Jharkhandi,Jharkhand
Jienense,Jaén
Jock,Scotland
Johannesburg,Johannesburg
Johorean,Johor
Jordanian,Jordan
Judaean,Judea
Judean,Judea
JuizForano,JuizDeFora
Jujeño,Jujuy
Jute,Jutland
Jyde,Jutland
Kagoshiman,Kagoshima
Kalamazooan,Kalamazoo
Kalingan,Kalinga
Kalundborgenser,Kalundborg
Kaluzhanin,Kaluga
Kalymnian,Kalymnos
Kamaaina,Hawaii
Kamaʻāina,Hawaii
Kannadiga,Karnataka
Kansan,Kansas
KansasCitian,KansasCity
Karachiite,Karachi
Karelian,Karelia
Karnatakan,Karnataka
Kashmiran,Kashmir
Kashmiri,JammuAndKashmir
Kastorian,Kastoria
Katangese,Katanga
Kaulonian,Kaulonia
Kazakhstani,Kazakhstan
Kedahan,Kedah
Kelantanese,Kelantan
Kenoshan,Kenosha
Kentuckian,Kentucky
Kenyan,Kenya
Keralite,Kerala
Kernewek,Cornwall
Khmer,Cambodia
Kievan,Kiev
Kingstonian,Kingston
Kirghiz,KyrgyzRepublic
Kitchenerite,Kitchener
Kittian,SaintKittsAndNevis
KittianAndNevisian,SaintKittsAndNevis
Kittitian,SaintKittsAndNevis
Kiwi,NewZealand
Klingon,QoNos
Knickerbocker,NewYork
Knossian,Knossos
Knoxvillian,Knoxville
Københavner,Copenhagen
Koldingenser,Kolding
Kosovan,KosovoAndMethohija
Krakovian,Kraków
KualaLumpurian,KualaLumpur
Kuchingite,Kuching
Kurdish,Kurdistan
Kurilian,KurilIslands
Kuwaiti,Kuwait
Kyotoite,Kyoto
Kyrgyz,Kyrgyzstan
Kyushuan,Kyushu
LaUeño,LaUnion
LaUnionian,LaUnion
Labradorian,NewfoundlandAndLabrador
Labuanese,Labuan
Laccadivian,Lakshadweep
Lagosian,Lagos
Laguneño,Laguna
Lagunense,Laguna
Lagunian,Laguna
Lahori,Lahore
Lakedaemonian,Lakedaimon
Lakedaimonian,Lakedaimon
Lambayequino,Lambayeque
Lancastrian,Lancaster
Lao,Laos
Laotian,Laos
Lapp,Lapland
Laputan,Laputa
Larissan,Larissa
LasVegan,LasVegas
Latin,Latium
Latverian,Latveria
Latvian,Latvia
Laurentian,StLawrenceRiver
Lavalois,Laval
Lavaloise,Laval
Lebanese,Lebanon
Leghornese,Livorno
Legionense,León
Leipziger,Leipzig
Leodensian,Leeds
Leonés,León
Leonese,León
Leontinian,Leontini
Leopolitan,Lviv
Lerense,Pontevedra
Lesbian,Lesbos
Lethbridgian,Lethbridge
Levantine,TheLevant
Leytenian,Leyte
Liberian,Liberia
Liberteño,LaLibertad
Libyan,Libya
Liechtenstein,Liechtenstein
Liechtensteiner,Liechtenstein
Ligurian,Liguria
Lilliputian,Lilliput
Limenian,Lima
Limeño,Lima
Linarense,Linares
Linzer,Linz
Lisboeta,Lisbon
Lithuanian,Lithuania
Liverpudlian,Liverpool
Livonian,Livonia
Livornese,Livorno
Locrian,Locris
Loiner,Leeds
Lollik,Lolland
Lombard,Lombardy
Lombardic,Lombardy
London,London
Londoner,London
Londrinense,Londrina
LongIsland,LongIsland
LongIslander,LongIsland
Loretano,Loreto
Lorrainer,Lorraine
Lorrainian,Lorraine
LosAngelean,LosAngeles
LosAngeleno,LosAngeles
LosAngelino,LosAngeles
Louisianian,Louisiana
Louisvillian,Louisville
Louperivois,RivièreDuLoup
Lousianan,Lousiana
Lousianian,Lousiana
LowerCalifornian,BajaCalifornia
Lucanian,Lucania
Lucchese,Lucca
Lucense,Lugo
Ludovicense,SãoLuís
Luqués,Lugo
Lusatian,Lusatia
Luxembourg,Luxembourg
Luxembourger,Luxembourg
Luxembourgish,Luxembourg
Lydian,Lydia
Lyonese,Lyon
Lyonnais,Lyon
Macanese,Macau
Macapense,Macapá
Maccam,Sunderland
Macedonian,Macedonia
Maceioense,Maceió
Madeiran,Madeira
MadhyaPradeshi,MadhyaPradesh
Madredediosense,MadreDeDios
Madrideño,Madrid
Madrileño,Madrid
Maeonian,Maeonia
Mageritense,Madrid
Maguindanaoan,Maguindanao
Magyar,Hungary
Maharashtrian,Maharashtra
Mahorais,Mayotte
Mahoran,Mayotte
Maineiac,Maine
Mainer,Maine
Mainiac,Maine
Mainland,SouthIsland
Majorcan,Majorca
Malaccan,Malacca
Malacitano,Málaga
Malagasy,Madagascar
Malagenean,Málaga
Malagueño,Málaga
Malawian,Malawi
Malay,Malaya
Malayan,Malaya
Malaysian,Malaysia
Maldivian,Maldives
Maldonadino,PuertoMaldonado
Malian,Mali
Malihini,Hawaii
Malinese,Mali
Maltese,Malta
ManOfKent,Kent
Manauara,Manaus
Manauense,Manaus
Manchego,CiudadReal
Manchurian,Manchuria
Mancunian,Manchester
Manhattan,Manhattan
Manhattanite,Manhattan
Manilan,MetroManila
Manileño,Manila
Manipuri,Manipur
Manitobain,Manitoba
Manitoban,Manitoba
Mantinean,Mantineia
Mantuan,Mantua
Manxwoman,IsleOfMan
Maqueta,CastillaLaMancha
Maranao,LanaoDelSur
Maranhense,Maranhão
Marathonian,Marathon
Marinduquenian,Marinduque
Marinduqueño,Marinduque
Maritime,Maritimes
Maritimer,MaritimeRegion
Marseillais,Marseille
Marshallese,MarshallIslands
Martinican,Martinique
Martiniquais,Martinique
Marylander,Maryland
Masbatenian,Masbate
Masbateño,Masbate
Mashugana,Michigan
Massachusettsan,Massachusetts
Massachusite,Massachusetts
Masshole,Massachusetts
Masurian,Masuria
Matritense,Madrid
Mauritanian,Mauritania
Mauritian,Mauritius
Mayrití,Madrid
Mazatleco,Mazatlán
McdonaldIslands,HeardIslandAndMcdonaldIslands
Mckinnian,Mckinney
Median,Media
Mediterranean,Mediterranean
Megaran,Megara
Megarian,Megara
Meghalayan,Meghalaya
Melanesian,Melanesia
